item,issn,label,publisher,homepage_url,http_status,final_url,category
2001,0360-3016,INTERNATIONAL JOURNAL OF  RADIATION ONCOLOGY BIOLO / ELSEVIER SCIENCE INC,ELSEVIER SCIENCE INC,https://www.journals.elsevier.com/international-journal-of-radiation-oncology-biology-physics,403,https://www.journals.elsevier.com/international-journal-of-radiation-oncology-biology-physics,BROKEN_403
2002,0022-1759,JOURNAL OF IMMUNOLOGICAL  METHODS / ELSEVIER,ELSEVIER,https://www.journals.elsevier.com/journal-of-immunological-methods,403,https://www.journals.elsevier.com/journal-of-immunological-methods,BROKEN_403
2003,1534-6617,HUMAN BIOLOGY / WAYNE STATE UNIV PRESS,WAYNE STATE UNIV PRESS,http://digitalcommons.wayne.edu/humbiol,200,https://digitalcommons.wayne.edu/humbiol/,WORKING
2004,1557-4660,Asia-Pacific Journal: Japan Focus Cambridge Univer / Unknown,Unknown,http://www.japanfocus.org/,403,http://www.japanfocus.org/,BROKEN_403
2005,1806-9339,Revista Brasileira de Ginecologia e Obstetricia Fe / Unknown,Unknown,"https://lp.thieme.de/journals/rbgo-gynecology-und-obstetrics/0100-7203#:~:text=RBGO%20has%20the%20purpose%20of,Gynecological%20Endoscopy%2C%20Gynecological%20Endocrinology%2C%20Lower",200,https://lp.thieme.de/journals/,WORKING
2006,0733-8627,EMERGENCY MEDICINE CLINICS OF  NORTH AMERICA / W B SAUNDERS CO-ELSEVIER INC,W B SAUNDERS CO-ELSEVIER INC,https://www.journals.elsevier.com/emergency-medicine-clinics-of-north-america,403,https://www.journals.elsevier.com/emergency-medicine-clinics-of-north-america,BROKEN_403
2007,1951-6711,Revue d'Elevage et de Medecine Veterinaire des Pay / Unknown,Unknown,http://revues.cirad.fr/index.php/REMVT/,200,https://revues.cirad.fr:443/index.php/REMVT/,WORKING
2008,1531-2445,Family Court Review John Wiley & Sons Inc. / Unknown,Unknown,https://onlinelibrary.wiley.com/journal/17441617,200,https://onlinelibrary.wiley.com/journal/17441617,WORKING
2009,1351-0347,"DEMOCRATIZATION / ROUTLEDGE JOURNALS, TAYLOR &  FRANCIS LT","ROUTLEDGE JOURNALS, TAYLOR &  FRANCIS LTD",https://www.tandfonline.com/toc/fdem20/current,200,https://www.tandfonline.com/toc/fdem20/current,WORKING
2010,0143-7739,LEADERSHIP & ORGANIZATION  DEVELOPMENT JOURNAL / EMERALD GROUP PUBLISHING LTD,EMERALD GROUP PUBLISHING LTD,,NO_URL,,NO_URL
2011,0312-2417,AUSTRALIAN ARCHAEOLOGY / TAYLOR & FRANCIS LTD,TAYLOR & FRANCIS LTD,http://www.australianarchaeology.com/our-journal/,404,http://www.australianarchaeology.com/our-journal/,BROKEN_404
2012,1740-7745,CLINICAL TRIALS / SAGE PUBLICATIONS LTD,SAGE PUBLICATIONS LTD,http://ctj.sagepub.com/,403,http://ctj.sagepub.com/,BROKEN_403
2013,1469-3062,CLIMATE POLICY / TAYLOR & FRANCIS LTD,TAYLOR & FRANCIS LTD,https://www.tandfonline.com/toc/tcpo20/current,200,https://www.tandfonline.com/action/cookieAbsent,WORKING
2014,0144-8609,AQUACULTURAL ENGINEERING / ELSEVIER SCI LTD,ELSEVIER SCI LTD,https://www.journals.elsevier.com/aquacultural-engineering,403,https://www.journals.elsevier.com/aquacultural-engineering,BROKEN_403
2015,1364-2987,"INTERNATIONAL JOURNAL OF HUMAN  RIGHTS / ROUTLEDGE JOURNALS, TAYLOR &  FRANCIS L","ROUTLEDGE JOURNALS, TAYLOR &  FRANCIS LTD",https://www.tandfonline.com/toc/fjhr20/current,200,https://www.tandfonline.com/action/cookieAbsent,WORKING
2016,2542-1905,Izvestiya Vysshikh Uchebnykh Zavedeniy. Prikladnay / Unknown,Unknown,http://andjournal.sgu.ru,200,https://andjournal.sgu.ru/,WORKING
